"experimento" "tratamento" "tempo" "repeticao" "severidade"
1 "testemunha" 1 1 0.2
1 "testemunha" 1 2 0.1
1 "testemunha" 1 3 0.15
1 "testemunha" 1 4 0.3
1 "testemunha" 2 1 2
1 "testemunha" 2 2 3
1 "testemunha" 2 3 2.5
1 "testemunha" 2 4 3.2
1 "testemunha" 3 1 10
1 "testemunha" 3 2 10.2
1 "testemunha" 3 3 15
1 "testemunha" 3 4 12
1 "fungicida" 1 1 0
1 "fungicida" 1 2 0
1 "fungicida" 1 3 0
1 "fungicida" 1 4 0
1 "fungicida" 2 1 0.2
1 "fungicida" 2 2 0.2
1 "fungicida" 2 3 0.5
1 "fungicida" 2 4 0.6
1 "fungicida" 3 1 1
1 "fungicida" 3 2 3
1 "fungicida" 3 3 2
1 "fungicida" 3 4 1.5
2 "testemunha" 1 1 0.2
2 "testemunha" 1 2 0.1
2 "testemunha" 1 3 0.15
2 "testemunha" 1 4 0.3
2 "testemunha" 2 1 2
2 "testemunha" 2 2 3
2 "testemunha" 2 3 2.5
2 "testemunha" 2 4 3.2
2 "testemunha" 3 1 10
2 "testemunha" 3 2 10.2
2 "testemunha" 3 3 15
2 "testemunha" 3 4 12
2 "fungicida" 1 1 0
2 "fungicida" 1 2 0
2 "fungicida" 1 3 0
2 "fungicida" 1 4 0
2 "fungicida" 2 1 0.2
2 "fungicida" 2 2 0.2
2 "fungicida" 2 3 0.5
2 "fungicida" 2 4 0.6
2 "fungicida" 3 1 1
2 "fungicida" 3 2 3
2 "fungicida" 3 3 2
2 "fungicida" 3 4 1.5
